YearMonth,Value,month_number,date,year,month
190710,-0.3074,334,1907-10-01,1907,Oct
190711,-0.5085,335,1907-11-01,1907,Nov
190712,-0.3975,336,1907-12-01,1907,Dec
190801,-0.3668,337,1908-01-01,1908,Jan
190802,-0.3805,338,1908-02-01,1908,Feb
190803,-0.6126,339,1908-03-01,1908,Mar
190804,-0.4885,340,1908-04-01,1908,Apr
190805,-0.4064,341,1908-05-01,1908,May
190806,-0.41,342,1908-06-01,1908,Jun
190807,-0.3937,343,1908-07-01,1908,Jul
190808,-0.4848,344,1908-08-01,1908,Aug
190809,-0.4034,345,1908-09-01,1908,Sep
190810,-0.5239,346,1908-10-01,1908,Oct
190811,-0.4877,347,1908-11-01,1908,Nov
190812,-0.3887,348,1908-12-01,1908,Dec
190901,-0.5552,349,1909-01-01,1909,Jan
190902,-0.4628,350,1909-02-01,1909,Feb
190903,-0.5436,351,1909-03-01,1909,Mar
190904,-0.5331,352,1909-04-01,1909,Apr
190905,-0.4583,353,1909-05-01,1909,May
190906,-0.4209,354,1909-06-01,1909,Jun
190907,-0.4417,355,1909-07-01,1909,Jul
190908,-0.3118,356,1909-08-01,1909,Aug
190909,-0.3676,357,1909-09-01,1909,Sep
190910,-0.4016,358,1909-10-01,1909,Oct
190911,-0.2786,359,1909-11-01,1909,Nov
190912,-0.4143,360,1909-12-01,1909,Dec
191001,-0.3104,361,1910-01-01,1910,Jan
191002,-0.3648,362,1910-02-01,1910,Feb
191003,-0.4288,363,1910-03-01,1910,Mar
191004,-0.3449,364,1910-04-01,1910,Apr
191005,-0.3112,365,1910-05-01,1910,May
191006,-0.3623,366,1910-06-01,1910,Jun
191007,-0.3353,367,1910-07-01,1910,Jul
191008,-0.3409,368,1910-08-01,1910,Aug
191009,-0.3425,369,1910-09-01,1910,Sep
191010,-0.4298,370,1910-10-01,1910,Oct
191011,-0.5035,371,1910-11-01,1910,Nov
191012,-0.5688,372,1910-12-01,1910,Dec
191101,-0.5144,373,1911-01-01,1911,Jan
191102,-0.5337,374,1911-02-01,1911,Feb
191103,-0.5729,375,1911-03-01,1911,Mar
191104,-0.5169,376,1911-04-01,1911,Apr
191105,-0.4813,377,1911-05-01,1911,May
191106,-0.4487,378,1911-06-01,1911,Jun
191107,-0.4686,379,1911-07-01,1911,Jul
191108,-0.4591,380,1911-08-01,1911,Aug
191109,-0.4044,381,1911-09-01,1911,Sep
191110,-0.3499,382,1911-10-01,1911,Oct
191111,-0.264,383,1911-11-01,1911,Nov
191112,-0.2505,384,1911-12-01,1911,Dec
191201,-0.2833,385,1912-01-01,1912,Jan
191202,-0.1143,386,1912-02-01,1912,Feb
191203,-0.3179,387,1912-03-01,1912,Mar
191204,-0.2074,388,1912-04-01,1912,Apr
191205,-0.2298,389,1912-05-01,1912,May
191206,-0.2634,390,1912-06-01,1912,Jun
191207,-0.3206,391,1912-07-01,1912,Jul
191208,-0.4577,392,1912-08-01,1912,Aug
191209,-0.513,393,1912-09-01,1912,Sep
191210,-0.526,394,1912-10-01,1912,Oct
191211,-0.417,395,1912-11-01,1912,Nov
191212,-0.3629,396,1912-12-01,1912,Dec
191301,-0.3592,397,1913-01-01,1913,Jan
191302,-0.3955,398,1913-02-01,1913,Feb
191303,-0.4123,399,1913-03-01,1913,Mar
191304,-0.3559,400,1913-04-01,1913,Apr
191305,-0.3971,401,1913-05-01,1913,May
191306,-0.3841,402,1913-06-01,1913,Jun
191307,-0.36,403,1913-07-01,1913,Jul
191308,-0.334,404,1913-08-01,1913,Aug
191309,-0.3626,405,1913-09-01,1913,Sep
191310,-0.317,406,1913-10-01,1913,Oct
191311,-0.14,407,1913-11-01,1913,Nov
191312,-0.0428,408,1913-12-01,1913,Dec
191401,0.0921,409,1914-01-01,1914,Jan
191402,-0.1229,410,1914-02-01,1914,Feb
191403,-0.1649,411,1914-03-01,1914,Mar
191404,-0.2503,412,1914-04-01,1914,Apr
191405,-0.1696,413,1914-05-01,1914,May
191406,-0.1978,414,1914-06-01,1914,Jun
191407,-0.2127,415,1914-07-01,1914,Jul
191408,-0.1785,416,1914-08-01,1914,Aug
191409,-0.1829,417,1914-09-01,1914,Sep
191410,-0.1013,418,1914-10-01,1914,Oct
191411,-0.1259,419,1914-11-01,1914,Nov
191412,-0.1027,420,1914-12-01,1914,Dec
191501,-0.139,421,1915-01-01,1915,Jan
191502,-0.0136,422,1915-02-01,1915,Feb
191503,-0.1066,423,1915-03-01,1915,Mar
191504,0.0195,424,1915-04-01,1915,Apr
191505,-0.0723,425,1915-05-01,1915,May
191506,-0.0875,426,1915-06-01,1915,Jun
191507,-0.0312,427,1915-07-01,1915,Jul
191508,-0.0749,428,1915-08-01,1915,Aug
191509,-0.1141,429,1915-09-01,1915,Sep
191510,-0.1783,430,1915-10-01,1915,Oct
191511,-0.0173,431,1915-11-01,1915,Nov
191512,-0.0524,432,1915-12-01,1915,Dec
191601,-0.1775,433,1916-01-01,1916,Jan
191602,-0.1754,434,1916-02-01,1916,Feb
191603,-0.2967,435,1916-03-01,1916,Mar
191604,-0.1959,436,1916-04-01,1916,Apr
191605,-0.2242,437,1916-05-01,1916,May
191606,-0.3835,438,1916-06-01,1916,Jun
191607,-0.2903,439,1916-07-01,1916,Jul
191608,-0.277,440,1916-08-01,1916,Aug
191609,-0.26,441,1916-09-01,1916,Sep
191610,-0.2681,442,1916-10-01,1916,Oct
191611,-0.3936,443,1916-11-01,1916,Nov
191612,-0.5732,444,1916-12-01,1916,Dec
191701,-0.4305,445,1917-01-01,1917,Jan
191702,-0.4726,446,1917-02-01,1917,Feb
191703,-0.4259,447,1917-03-01,1917,Mar
191704,-0.3112,448,1917-04-01,1917,Apr
191705,-0.4475,449,1917-05-01,1917,May
191706,-0.3406,450,1917-06-01,1917,Jun
191707,-0.1723,451,1917-07-01,1917,Jul
191708,-0.1719,452,1917-08-01,1917,Aug
191709,-0.0587,453,1917-09-01,1917,Sep
191710,-0.2602,454,1917-10-01,1917,Oct
191711,-0.1325,455,1917-11-01,1917,Nov
191712,-0.533,456,1917-12-01,1917,Dec
191801,-0.2145,457,1918-01-01,1918,Jan
191802,-0.2858,458,1918-02-01,1918,Feb
191803,-0.1739,459,1918-03-01,1918,Mar
191804,-0.2943,460,1918-04-01,1918,Apr
191805,-0.2793,461,1918-05-01,1918,May
191806,-0.1782,462,1918-06-01,1918,Jun
191807,-0.1992,463,1918-07-01,1918,Jul
191808,-0.1724,464,1918-08-01,1918,Aug
191809,-0.1473,465,1918-09-01,1918,Sep
191810,-0.0987,466,1918-10-01,1918,Oct
191811,-0.1113,467,1918-11-01,1918,Nov
191812,-0.3167,468,1918-12-01,1918,Dec
191901,-0.2411,469,1919-01-01,1919,Jan
191902,-0.053,470,1919-02-01,1919,Feb
191903,-0.2387,471,1919-03-01,1919,Mar
191904,-0.07,472,1919-04-01,1919,Apr
191905,-0.1819,473,1919-05-01,1919,May
191906,-0.2326,474,1919-06-01,1919,Jun
191907,-0.2129,475,1919-07-01,1919,Jul
191908,-0.2108,476,1919-08-01,1919,Aug
191909,-0.1775,477,1919-09-01,1919,Sep
191910,-0.2201,478,1919-10-01,1919,Oct
191911,-0.3203,479,1919-11-01,1919,Nov
191912,-0.2971,480,1919-12-01,1919,Dec
192001,-0.1145,481,1920-01-01,1920,Jan
192002,-0.2223,482,1920-02-01,1920,Feb
192003,-0.0583,483,1920-03-01,1920,Mar
192004,-0.2087,484,1920-04-01,1920,Apr
192005,-0.1679,485,1920-05-01,1920,May
192006,-0.2531,486,1920-06-01,1920,Jun
192007,-0.2404,487,1920-07-01,1920,Jul
192008,-0.227,488,1920-08-01,1920,Aug
192009,-0.1734,489,1920-09-01,1920,Sep
192010,-0.2109,490,1920-10-01,1920,Oct
192011,-0.2472,491,1920-11-01,1920,Nov
192012,-0.3858,492,1920-12-01,1920,Dec
192101,-0.0597,493,1921-01-01,1921,Jan
192102,-0.1482,494,1921-02-01,1921,Feb
192103,-0.215,495,1921-03-01,1921,Mar
192104,-0.2029,496,1921-04-01,1921,Apr
192105,-0.189,497,1921-05-01,1921,May
192106,-0.1641,498,1921-06-01,1921,Jun
192107,-0.1121,499,1921-07-01,1921,Jul
192108,-0.1918,500,1921-08-01,1921,Aug
192109,-0.145,501,1921-09-01,1921,Sep
192110,-0.0691,502,1921-10-01,1921,Oct
192111,-0.1876,503,1921-11-01,1921,Nov
192112,-0.0798,504,1921-12-01,1921,Dec
192201,-0.3185,505,1922-01-01,1922,Jan
192202,-0.2931,506,1922-02-01,1922,Feb
192203,-0.0762,507,1922-03-01,1922,Mar
192204,-0.1264,508,1922-04-01,1922,Apr
192205,-0.2625,509,1922-05-01,1922,May
192206,-0.2784,510,1922-06-01,1922,Jun
192207,-0.2603,511,1922-07-01,1922,Jul
192208,-0.2771,512,1922-08-01,1922,Aug
192209,-0.2501,513,1922-09-01,1922,Sep
192210,-0.25,514,1922-10-01,1922,Oct
192211,-0.1975,515,1922-11-01,1922,Nov
192212,-0.1582,516,1922-12-01,1922,Dec
192301,-0.211,517,1923-01-01,1923,Jan
192302,-0.3779,518,1923-02-01,1923,Feb
192303,-0.2693,519,1923-03-01,1923,Mar
192304,-0.335,520,1923-04-01,1923,Apr
192305,-0.248,521,1923-05-01,1923,May
192306,-0.194,522,1923-06-01,1923,Jun
192307,-0.2791,523,1923-07-01,1923,Jul
192308,-0.2797,524,1923-08-01,1923,Aug
192309,-0.2431,525,1923-09-01,1923,Sep
192310,-0.1609,526,1923-10-01,1923,Oct
192311,0.0313,527,1923-11-01,1923,Nov
192312,0.004,528,1923-12-01,1923,Dec
192401,-0.2514,529,1924-01-01,1924,Jan
192402,-0.1847,530,1924-02-01,1924,Feb
192403,-0.1139,531,1924-03-01,1924,Mar
192404,-0.2458,532,1924-04-01,1924,Apr
192405,-0.2026,533,1924-05-01,1924,May
192406,-0.2261,534,1924-06-01,1924,Jun
192407,-0.2201,535,1924-07-01,1924,Jul
192408,-0.2879,536,1924-08-01,1924,Aug
192409,-0.2831,537,1924-09-01,1924,Sep
192410,-0.2884,538,1924-10-01,1924,Oct
192411,-0.2917,539,1924-11-01,1924,Nov
192412,-0.3892,540,1924-12-01,1924,Dec
192501,-0.3228,541,1925-01-01,1925,Jan
192502,-0.2778,542,1925-02-01,1925,Feb
192503,-0.1681,543,1925-03-01,1925,Mar
192504,-0.1614,544,1925-04-01,1925,Apr
192505,-0.2081,545,1925-05-01,1925,May
192506,-0.2253,546,1925-06-01,1925,Jun
192507,-0.2096,547,1925-07-01,1925,Jul
192508,-0.1367,548,1925-08-01,1925,Aug
192509,-0.1011,549,1925-09-01,1925,Sep
192510,-0.1243,550,1925-10-01,1925,Oct
192511,0.0597,551,1925-11-01,1925,Nov
192512,0.1122,552,1925-12-01,1925,Dec
192601,0.1732,553,1926-01-01,1926,Jan
192602,0.086,554,1926-02-01,1926,Feb
192603,0.0818,555,1926-03-01,1926,Mar
192604,-0.1252,556,1926-04-01,1926,Apr
192605,-0.1266,557,1926-05-01,1926,May
192606,-0.1178,558,1926-06-01,1926,Jun
192607,-0.1549,559,1926-07-01,1926,Jul
192608,-0.0864,560,1926-08-01,1926,Aug
